"","time","BTC","ETH","XMR","ETC","ZEC","DASH","LTC","DOGE","NXT","BTCVOLFROM","BTCVOLTO","ETHVOLTO","ETHVOLFROM"
"230",1969-12-31 19:00:00,3530.67,291.83,57.66,20.24,267.17,265.19,58.05,0.002577,0.1568,10.93,38639.72,6846.57,23.41
"231",1969-12-31 19:00:00,3525.22,289.01,57.36,20.21,265.84,266.3,58.63,0.002538,0.1549,24.84,87628.64,54312.2,187.23
"232",1969-12-31 19:00:00,3492.51,289.76,57,20.02,262.29,262.29,58.01,0.00248,0.1543,14.87,52352.18,114649.91,392.9
"233",1969-12-31 19:00:00,3537.08,291.93,58.29,20.3,265,270.8,58.01,0.002511,0.1572,5.76,20390.87,9294.08,31.84
"234",1969-12-31 19:00:00,3457.32,285.88,56.87,19.82,259.3,262.24,57.56,0.002455,0.1461,79.54,275488.05,153940.13,533.54
"235",1969-12-31 19:00:00,3461.74,273.78,55.25,19.56,254.82,257.35,57.03,0.002423,0.1439,30.64,106133.77,253178.94,904.43
"236",1969-12-31 19:00:00,3464.27,281.58,55.15,19.63,256.32,263.98,57.01,0.002494,0.1471,111.55,380116.54,71878.34,258.25
"237",1969-12-31 19:00:00,3396.63,273.5,53.29,19.25,248.84,260.49,56.86,0.002446,0.1415,21.65,74796.24,11782.61,42.71
"238",1969-12-31 19:00:00,3340.23,282.17,52.51,18.93,245.67,254.56,56,0.002372,0.1339,35.7,120602.08,23119.34,83.8
"239",1969-12-31 19:00:00,3330.9,268.92,51.9,18.86,239.72,249.38,54,0.002298,0.134,97.5,324439.17,168737.77,630.9
"240",1969-12-31 19:00:00,3317.01,269.63,51.68,18.92,239.12,249.51,56.04,0.002289,0.1323,21.02,71022.75,166017.9,625.32
"241",1969-12-31 19:00:00,3334.35,269.07,51.12,19.03,240.17,250.11,55.49,0.002301,0.1331,46.56,155003.44,51825.2,193.4
"242",1969-12-31 19:00:00,3347.79,268.46,51.56,19.24,243.15,251.42,55.69,0.002343,0.1404,24.87,83298.09,51294.62,190.7
"243",1969-12-31 19:00:00,3357.37,267.24,51.77,19.33,243.61,253.35,56.03,0.00235,0.1375,24.37,81809.07,159649.61,595.26
"244",1969-12-31 19:00:00,3336.93,265.61,51.12,19.1,238.92,255.07,55.73,0.002302,0.1314,58.68,194929.86,38005.82,142.63
"245",1969-12-31 19:00:00,3341.79,270.21,51.7,19.12,242.08,253.81,57.01,0.002306,0.1367,114.37,378523.46,108891.31,410.98
"246",1969-12-31 19:00:00,3301.5,261.85,51.27,19.09,239.95,253.72,55.49,0.002278,0.1327,15.96,53620.9,66144.08,250.07
"247",1969-12-31 19:00:00,3266.2,258.04,50.89,18.84,238.82,248.62,54.6,0.002221,0.1311,32.22,105926.87,196545.59,754.78
"248",1969-12-31 19:00:00,3199.84,240.1,50.14,18.37,234.68,242.29,58.8,0.002208,0.1294,113.47,361474.78,1118051.51,4533.19
"249",1969-12-31 19:00:00,3273.55,258.9,51.36,18.6,237.07,244.83,55.05,0.002259,0.1355,174.18,561026.7,474979.42,1919.48
"250",1969-12-31 19:00:00,3267.19,255.87,51.39,18.55,237.03,247.03,55,0.002222,0.1341,133.89,430573.82,328093.08,1293.44
"251",1969-12-31 19:00:00,3287.78,261.76,52.34,18.74,239.25,247.64,55.89,0.002269,0.1343,29.22,96241.21,94693.29,361.04
"252",1969-12-31 19:00:00,3410.76,270.15,53.89,19.5,246.9,255.91,54.51,0.002353,0.1422,56.3,190961,249330.62,942.4
"253",1969-12-31 19:00:00,3344.05,267.59,53.07,19.08,243.15,251.77,55.99,0.002307,0.1369,54.2,180532.05,98377.94,364.81
"254",1969-12-31 19:00:00,3300.32,255.97,52.44,18.95,243.2,250.59,54.75,0.002277,0.1322,45.3,148329.22,132576.01,510.01
"255",1969-12-31 19:00:00,3221.37,256.69,51.06,18.52,232.91,245.73,54.8,0.002223,0.1297,51.94,167178.74,246241,974.56
"256",1969-12-31 19:00:00,3257.8,257.91,51.41,18.72,235.47,249.25,55.72,0.002248,0.1315,15.92,52534.54,32657.01,127.25
"257",1969-12-31 19:00:00,3282.8,252.82,51.84,18.85,235.48,251.82,54.11,0.002232,0.1333,35.15,113363.55,33845.1,133.77
"258",1969-12-31 19:00:00,3218.25,257.72,50.91,18.63,230.88,247.16,54.75,0.002156,0.1289,16.71,54824.63,66257.73,257.61
"259",1969-12-31 19:00:00,3316.65,257.98,52.73,19.1,239.13,256.24,54.05,0.002255,0.1318,13.01,43448.93,4456.16,17.35
"260",1969-12-31 19:00:00,3369.66,257.87,53.51,19.43,243.32,260.07,54.05,0.002258,0.1375,86.9,278783.98,9126.32,35.95
"261",1969-12-31 19:00:00,3248.53,255.2,51.68,18.8,236.85,250.92,54.83,0.002209,0.1321,16.75,55012.4,366.74,1.43
"262",1969-12-31 19:00:00,3271.56,257.04,52.18,18.88,237.02,252.79,54.83,0.002225,0.138,7.51,25367.18,40202.35,155.77
"263",1969-12-31 19:00:00,3284,260.08,52.38,18.96,238.42,257.14,56.5,0.002299,0.143,116.21,373248.8,306648.06,1159
"264",1969-12-31 19:00:00,3256.63,267.68,52.24,18.87,238.16,256.26,56.5,0.002247,0.1413,28.47,93932.64,23099.39,86.82
"265",1969-12-31 19:00:00,3238.31,263.62,51.62,18.74,235.1,254.05,56.98,0.002267,0.1361,97.27,312682.41,22967.59,88.44
"266",1969-12-31 19:00:00,3253.55,260,51.63,18.85,235.43,258.2,54.99,0.002245,0.1373,21.24,69922.3,53394.59,199.91
"267",1969-12-31 19:00:00,3169.29,256.86,54.96,18.43,234.46,250.41,54.25,0.002219,0.1299,105.5,335943.38,43458.14,167.33
"268",1969-12-31 19:00:00,3210.33,253.1,56.85,18.65,237.6,252.01,54.98,0.002247,0.132,23.21,74557.41,36181.76,141.97
"269",1969-12-31 19:00:00,3226.96,259.55,59.57,18.62,238.38,251.09,54.78,0.002259,0.135,45.1,145219.36,152820.39,591.81
"270",1969-12-31 19:00:00,3272.54,262.48,60.18,18.98,243.12,255.75,56.5,0.002291,0.1386,18.53,60559.81,77342.68,298.03
"271",1969-12-31 19:00:00,3255.86,259.63,59.26,18.83,244.55,252.88,56.5,0.002279,0.1349,20.38,66028.75,29237.96,112.23
"272",1969-12-31 19:00:00,3273.45,259.99,59.58,18.94,246.46,253.82,56.25,0.002291,0.1375,16.24,52891.37,32537.02,124.84
